XP n°,Substrate,Organism,Enzyme,Yield,Unit,Incubation time (hrs),Pretreatment,Nutritive or inducing supplement,Enhancement or optimization method,Parameters,Notes,Date of publication,Reference
101,corn stover,Trametes versicolor,laccase,0.054,U/mL,72,"Dried (room T°) until MC=10%, sieved (0,5-4,5mm), sterilised (30mn ; 121°C).",None,NA,MC=82% ; T=30°C.,Yield values are approximate and converted from U/L.,2018,31
102,corn stover,Trametes versicolor,Mn-peroxidase,0.012,U/mL,576,"Dried (room T°) until MC=10%, sieved (4,5mm-9mm), sterilised (30mn ; 121°C).",None,NA,MC=82% ; T=30°C.,Yield values are approximate and converted from U/L.,2018,31
102,corn stover,Trametes versicolor,lignin peroxidase,0.41806,U/mL,720,"Dried (room T°) until MC=10%, sieved (4,5mm-9mm), sterilised (30mn ; 121°C).",None,NA,MC=82% ; T=30°C.,Yield values are approximate and converted from U/L.,2018,31
102,corn stover,Trametes versicolor,laccase,0.092,U/mL,144,"Dried (room T°) until MC=10%, sieved (4,5mm-9mm), sterilised (30mn ; 121°C).",None,NA,MC=82% ; T=30°C.,Yield values are approximate and converted from U/L.,2018,31
103,wheat straw,Aspergillus niger ADH 11,FPase,2.34,U/g,119.76,"Cut (5mm), washed with water, air-dried, Microwave Assisted Alkali treated (soaked in a 0,5% NaOH solution and exposed to microwaves for 20mn), filtred, washed, dried (80°C). Sterilised (15mn ; 121°C).","7,1% (v/v of substrate) moistening medium: corn steep liquor (CSL)",RSM (Box-Behnken design),"pH=5,3 ; Inoculum (1E8 spores/mL ; 30% v/v of CSL) ; T°=30°C.",Initial studies of A. niger presented better results using corn steep liquor as medium instead of Mendels or Weber mediums.,2013,32
103,wheat straw,Aspergillus niger ADH 11,endoglucanase,308.16,U/g,119.76,"Cut (5mm), washed with water, air-dried, Microwave Assisted Alkali treated (soaked in a 0,5% NaOH solution and exposed to microwaves for 20mn), filtred, washed, dried (80°C). Sterilised (15mn ; 121°C).","7,1% (v/v of substrate) moistening medium: corn steep liquor (CSL)",RSM (Box-Behnken design),"pH=5,3 ; Inoculum (1E8 spores/mL ; 30% v/v of CSL) ; T°=30°C.",Initial studies of A. niger presented better results using corn steep liquor as medium instead of Mendels or Weber mediums.,2013,32
103,wheat straw,Aspergillus niger ADH 11,β-glucosidase,96.61,U/g,119.76,"Cut (5mm), washed with water, air-dried, Microwave Assisted Alkali treated (soaked in a 0,5% NaOH solution and exposed to microwaves for 20mn), filtred, washed, dried (80°C). Sterilised (15mn ; 121°C).","7,1% (v/v of substrate) moistening medium: corn steep liquor (CSL)",RSM (Box-Behnken design),"pH=5,3 ; Inoculum (1E8 spores/mL ; 30% v/v of CSL) ; T°=30°C.",Initial studies of A. niger presented better results using corn steep liquor as medium instead of Mendels or Weber mediums.,2013,32
103,wheat straw,Aspergillus niger ADH 11,xylanase,3815.96,U/g,119.76,"Cut (5mm), washed with water, air-dried, Microwave Assisted Alkali treated (soaked in a 0,5% NaOH solution and exposed to microwaves for 20mn), filtred, washed, dried (80°C). Sterilised (15mn ; 121°C).","7,1% (v/v of substrate) moistening medium: corn steep liquor (CSL)",RSM (Box-Behnken design),"pH=5,3 ; Inoculum (1E8 spores/mL ; 30% v/v of CSL) ; T°=30°C.",Initial studies of A. niger presented better results using corn steep liquor as medium instead of Mendels or Weber mediums.,2013,32
103,wheat straw,Aspergillus niger ADH 11,β-xylosidase,174.42,U/g,119.76,"Cut (5mm), washed with water, air-dried, Microwave Assisted Alkali treated (soaked in a 0,5% NaOH solution and exposed to microwaves for 20mn), filtred, washed, dried (80°C). Sterilised (15mn ; 121°C).","7,1% (v/v of substrate) moistening medium: corn steep liquor (CSL)",RSM (Box-Behnken design),"pH=5,3 ; Inoculum (1E8 spores/mL ; 30% v/v of CSL) ; T°=30°C.",Initial studies of A. niger presented better results using corn steep liquor as medium instead of Mendels or Weber mediums.,2013,32
104,wheat bran,Aspergillus niger 12,CMCase,50.2,U/gds,72,Autoclaved (20mn ; 121°C).,"Solution added to reach the predefined MC : 0,1 mol/L HCl + 0,9% W/v (NH4)2SO4.",Full factorial design + RSM (Central Composite design),Inoculum (1E7 conodia/gds) ; MC=72% ; T°=32°C ; air flow= 20mL/mn (forced aeration) ; RH=70%.,"Realised in a lab-scale feedback-controlled bioreactor (16 columns ∅2,5*20cm in water bath).",2011,33
105,wheat bran,Aspergillus niger INCQS 40018,protease,27.5,U/mL,96,Sterilised (15mn ; 121°C).,None,None,MC=50% w/v ; Inoculum (2mL ; 1E7 spores/mL) ; T°=30°C.,Yield value is approximate. Additional experience was conducted to determine optimal pH and T°.,2015,34
106,wheat bran,Aspergillus brasiliensis INCQS 40036,protease,16,U/mL,96,Sterilised (15mn ; 121°C).,None,None,MC=50% w/v ; Inoculum (2mL ; 1E7 spores/mL) ; T°=30°C.,Yield value is approximate. Additional experience was conducted to determine optimal pH and T°.,2015,34
107,wheat bran,Aspergillus flavipes INCQS 40024,protease,36.5,U/mL,144,Sterilised (15mn ; 121°C).,None,None,MC=50% w/v ; Inoculum (2mL ; 1E7 spores/mL) ; T°=30°C.,Yield value is approximate. Additional experience was conducted to determine optimal pH and T°.,2015,34
108,wheat bran,Penicillium roquefortii INCQS 40074,protease,26,U/mL,72,Sterilised (15mn ; 121°C).,None,None,MC=50% w/v ; Inoculum (2mL ; 1E7 spores/mL) ; T°=30°C.,Yield value is approximate. Additional experience was conducted to determine optimal pH and T°.,2015,34
109,wheat bran,Aspergillus oryzae INCQS 40068,protease,39,U/mL,120,Sterilised (15mn ; 121°C).,None,None,MC=50% w/v ; Inoculum (2mL ; 1E7 spores/mL) ; T°=30°C.,Yield value is approximate. Additional experience was conducted to determine optimal pH and T°.,2015,34
110,wheat bran,Trichoderma viride IR05,xylanase,29.3,U/g,168,Autoclaved (15mn ; 121°C ; 15 lbs/in²).,Vogel's medium (10mL/10gs),None,Inoculum (1mL) ; T°=30±1°C.,"Results from substrate screening experiments. In this study, the best results were obtained with sugarcane bagasse, which was therefore used for optimization.",2014,35
111,corn cob,Trichoderma viride IR05,xylanase,50,U/g,168,Autoclaved (15mn ; 121°C ; 15 lbs/in²).,Vogel's medium (10mL/10gs),None,Inoculum (1mL) ; T°=30±1°C.,"Results from substrate screening experiments. In this study, the best results were obtained with sugarcane bagasse, which was therefore used for optimization.",2014,35
112,rice husk,Trichoderma viride IR05,xylanase,25.5,U/g,168,Autoclaved (15mn ; 121°C ; 15 lbs/in²).,Vogel's medium (10mL/10gs),None,Inoculum (1mL) ; T°=30±1°C.,"Results from substrate screening experiments. In this study, the best results were obtained with sugarcane bagasse, which was therefore used for optimization.",2014,35
113,wheat bran,Fomitopsis sp. RCK2010,FPase,3.492,U/g,384,"Dried, ground (750µm). Mixture autoclaved (121°C ; 15psi).","Solution added to reach predefined MR (g/L): 0,5 (NH4)2SO4 ; 0,5 KH2PO4 ; 0,5 MgSO4.",OFAT,"pH=5,5 ; MR (1:3,5) ; Inoculum (0,5% w/w mixture) ; T°=30°C.","Authors recommend the use of statistical methods such as RSM for a better conditions optimisation. Wheat bran was by far the best substrate for cellulase production (compared to corn cob, corn stover, wheat straw). ",2011,36
113,wheat bran,Fomitopsis sp. RCK2010,CMCase,71.699,U/g,264,"Dried, ground (750µm). Mixture autoclaved (121°C ; 15psi).","Solution added to reach predefined MR (g/L): 0,5 (NH4)2SO4 ; 0,5 KH2PO4 ; 0,5 MgSO4.",OFAT,"pH=5,5 ; MR (1:3,5) ; Inoculum (0,5% w/w mixture) ; T°=30°C.","Authors recommend the use of statistical methods such as RSM for a better conditions optimisation. Wheat bran was by far the best substrate for cellulase production (compared to corn cob, corn stover, wheat straw). ",2011,36
113,wheat bran,Fomitopsis sp. RCK2010,β-glucosidase,53.679,U/g,360,"Dried, ground (750µm). Mixture autoclaved (121°C ; 15psi).","Solution added to reach predefined MR (g/L): 0,5 (NH4)2SO4 ; 0,5 KH2PO4 ; 0,5 MgSO4.",OFAT,"pH=5,5 ; MR (1:3,5) ; Inoculum (0,5% w/w mixture) ; T°=30°C.","Authors recommend the use of statistical methods such as RSM for a better conditions optimisation. Wheat bran was by far the best substrate for cellulase production (compared to corn cob, corn stover, wheat straw). ",2011,36
114,wheat straw,Fomitopsis sp. RCK2010,FPase,0.239,U/g,NA,"Dried, ground (750µm). Mixture autoclaved (121°C ; 15psi).","Solution added to reach predefined MR (g/L): 0,5 (NH4)2SO4 ; 0,5 KH2PO4 ; 0,5 MgSO4.",OFAT,"pH=5,5 ; MR (1:3,5) ; Inoculum (0,5% w/w mixture) ; T°=30°C.",Authors recommend the use of statistical methods such as RSM for a better conditions optimisation.,2011,36
114,wheat straw,Fomitopsis sp. RCK2010,CMCase,2.41,U/g,NA,"Dried, ground (750µm). Mixture autoclaved (121°C ; 15psi).","Solution added to reach predefined MR (g/L): 0,5 (NH4)2SO4 ; 0,5 KH2PO4 ; 0,5 MgSO4.",OFAT,"pH=5,5 ; MR (1:3,5) ; Inoculum (0,5% w/w mixture) ; T°=30°C.",Authors recommend the use of statistical methods such as RSM for a better conditions optimisation.,2011,36
114,wheat straw,Fomitopsis sp. RCK2010,β-glucosidase,3.229,U/g,NA,"Dried, ground (750µm). Mixture autoclaved (121°C ; 15psi).","Solution added to reach predefined MR (g/L): 0,5 (NH4)2SO4 ; 0,5 KH2PO4 ; 0,5 MgSO4.",OFAT,"pH=5,5 ; MR (1:3,5) ; Inoculum (0,5% w/w mixture) ; T°=30°C.",Authors recommend the use of statistical methods such as RSM for a better conditions optimisation.,2011,36
115,corn cob,Fomitopsis sp. RCK2010,FPase,0.191,U/g,NA,"Dried, ground (750µm). Mixture autoclaved (121°C ; 15psi).","Solution added to reach predefined MR (g/L): 0,5 (NH4)2SO4 ; 0,5 KH2PO4 ; 0,5 MgSO4.",OFAT,"pH=5,5 ; MR (1:3,5) ; Inoculum (0,5% w/w mixture) ; T°=30°C.",Authors recommend the use of statistical methods such as RSM for a better conditions optimisation.,2011,36
115,corn cob,Fomitopsis sp. RCK2010,CMCase,2.215,U/g,NA,"Dried, ground (750µm). Mixture autoclaved (121°C ; 15psi).","Solution added to reach predefined MR (g/L): 0,5 (NH4)2SO4 ; 0,5 KH2PO4 ; 0,5 MgSO4.",OFAT,"pH=5,5 ; MR (1:3,5) ; Inoculum (0,5% w/w mixture) ; T°=30°C.",Authors recommend the use of statistical methods such as RSM for a better conditions optimisation.,2011,36
115,corn cob,Fomitopsis sp. RCK2010,β-glucosidase,2.658,U/g,NA,"Dried, ground (750µm). Mixture autoclaved (121°C ; 15psi).","Solution added to reach predefined MR (g/L): 0,5 (NH4)2SO4 ; 0,5 KH2PO4 ; 0,5 MgSO4.",OFAT,"pH=5,5 ; MR (1:3,5) ; Inoculum (0,5% w/w mixture) ; T°=30°C.",Authors recommend the use of statistical methods such as RSM for a better conditions optimisation.,2011,36
116,corn stover,Fomitopsis sp. RCK2010,FPase,0.243,U/g,NA,"Dried, ground (750µm). Mixture autoclaved (121°C ; 15psi).","Solution added to reach predefined MR (g/L): 0,5 (NH4)2SO4 ; 0,5 KH2PO4 ; 0,5 MgSO4.",OFAT,"pH=5,5 ; MR (1:3,5) ; Inoculum (0,5% w/w mixture) ; T°=30°C.",Authors recommend the use of statistical methods such as RSM for a better conditions optimisation.,2011,36
116,corn stover,Fomitopsis sp. RCK2010,CMCase,3.698,U/g,NA,"Dried, ground (750µm). Mixture autoclaved (121°C ; 15psi).","Solution added to reach predefined MR (g/L): 0,5 (NH4)2SO4 ; 0,5 KH2PO4 ; 0,5 MgSO4.",OFAT,"pH=5,5 ; MR (1:3,5) ; Inoculum (0,5% w/w mixture) ; T°=30°C.",Authors recommend the use of statistical methods such as RSM for a better conditions optimisation.,2011,36
116,corn stover,Fomitopsis sp. RCK2010,β-glucosidase,2.773,U/g,NA,"Dried, ground (750µm). Mixture autoclaved (121°C ; 15psi).","Solution added to reach predefined MR (g/L): 0,5 (NH4)2SO4 ; 0,5 KH2PO4 ; 0,5 MgSO4.",OFAT,"pH=5,5 ; MR (1:3,5) ; Inoculum (0,5% w/w mixture) ; T°=30°C.",Authors recommend the use of statistical methods such as RSM for a better conditions optimisation.,2011,36
117,wheat bran,Rhizopus oryzae SN5,FPase,437.54,U/gds,120,Autoclaved.,"Modified Czapex-Dox inorganic medium (g/L): 2 NaNO3 ; 0,5 KCl ; 0,01 FeSo4.7H2O ; NAMgSO4.7H2O ; 4,5 KH2PO4.",OFAT + EVOP-factorial design (pH ; T° ; incubation time).,"pH=6 ; MR: 1:2 w/v ; Inoculum (1,8E8 spores/mL) ; T°=30°C.","Optimisation via EVOP-factorial design resulted in cellulase and xylanase activies respectively 1,15 and 1,06-fold higher than via OFAT.",2016,37
117,wheat bran,Rhizopus oryzae SN5,xylanase,273.83,U/gds,120,Autoclaved.,"Modified Czapex-Dox inorganic medium (g/L): 2 NaNO3 ; 0,5 KCl ; 0,01 FeSo4.7H2O ; NAMgSO4.7H2O ; 4,5 KH2PO4.",OFAT + EVOP-factorial design (pH ; T° ; incubation time).,"pH=6 ; MR: 1:2 w/v ; Inoculum (1,8E8 spores/mL) ; T°=30°C.","Optimisation via EVOP-factorial design resulted in cellulase and xylanase activies respectively 1,15 and 1,06-fold higher than via OFAT.",2016,37
118,wheat bran,Aspergillus tubingensis CR16,inulinase,257,U/g,103,Autoclaved (15mn ; 121°C).,Corn steep liquor added to reach predefined MC.,RSM (Box-Behnken design),"pH=6,1 ; MC=71,2% ; Inoculum (1E9 spores/mL) ; T°=30°C.","Authors claim: ""Enzyme yield based on sucrose hydrolytic activity was 1358,6±0,8 U/g which was the highest yield reported so far.""",2012,38
118,wheat bran,Aspergillus tubingensis CR16,invertase,1358.6,U/g,103,Autoclaved (15mn ; 121°C).,Corn steep liquor added to reach predefined MC.,RSM (Box-Behnken design),"pH=6,1 ; MC=71,2% ; Inoculum (1E9 spores/mL) ; T°=30°C.","Authors claim: ""Enzyme yield based on sucrose hydrolytic activity was 1358,6±0,8 U/g which was the highest yield reported so far.""",2012,38
119,wheat bran,Aspergillus ficuum JNSP5-06,inulinase,230,U/gds,72,Autoclaved (30mn ; 121°C).,"for 10gds, 13mL of solution (% w/w of dry substrate) : 11,47 inulin ; 5,71 corn steep liquor ; 0,76 NH4H2PO4 ; 0,5 NaCl ; 0,5 Tween-80 ; 0,1 KH2PO4 ; 0,05 MgSO4.",SSF: NA. Extraction: CCRD,"pH=5,5 ; Inoculum (4%) ; RH=80% ; T°=28°C.",Yield value is approximate. The study focused on the optimisation of the extraction step.,2011,39
120,wheat straw,Trichoderma reesei ATCC 13631,xylanase,1023,U/gds,108,"Washed, autoclaved (solid to water ratio 1:10 w/v ; 30mn ; 121°C), pH-adjusted with HCl solution (1% v/v), dried (70°C), ground (0,2-2mm).","0,4mL/gds Mandel's medium (mg/L): 300 urea ; 1400 (NH4)2SO4 ; 2000 KH2PO4 ; 300 CaCl2 ; 300 MgSO4.7H2O ; 750 proteose peptone ; 250 YE ; 5 FeSO4.H2O ; 1,6 MnSO4.7H2O ; 1,4 ZnSO4.7H2O ; 2 CoCl2.6H2O. Additives cocktail (mg/gds): 0,2 Tween 80 ; 4 betaine ; 4 CMCose.",Taguchi optimisation method for optimisation of the additive cocktail.,pH=5 ; Inoculum (5E6 spores/gds) ; MC=80% w/w ; T°=28°C.,"The study focused on the impact of 4 carboneous additives on the production of xylanase, CMCase and FPase. The additive cocktail used in this experiment (cf. Nutritive or inducing supplement) has been optimised for xylanase production.",2018,40
121,wheat straw,Trichoderma reesei ATCC 13631,CMCase,9.6,U/gds,108,"Washed, autoclaved (solid to water ratio 1:10 w/v ; 30mn ; 121°C), pH-adjusted with HCl solution (1% v/v), dried (70°C), ground (0,2-2mm).","0,4mL/gds Mandel's medium (mg/L): 300 urea ; 1400 (NH4)2SO4 ; 2000 KH2PO4 ; 300 CaCl2 ; 300 MgSO4.7H2O ; 750 proteose peptone ; 250 YE ; 5 FeSO4.H2O ; 1,6 MnSO4.7H2O ; 1,4 ZnSO4.7H2O ; 2 CoCl2.6H2O. Additives cocktail (mg/gds):  4 betaine ; 2 CMCose ; 1,6 lactose.",Taguchi optimisation method for optimisation of the additive cocktail.,pH=5 ; Inoculum (5E6 spores/gds) ; MC=80% w/w ; T°=28°C.,"The study focused on the impact of 4 carboneous additives on the production of xylanase, CMCase and FPase. The additive cocktail used in this experiment (cf. Nutritive or inducing supplement) has been optimised for CMCase production.",2018,40
122,wheat straw,Trichoderma reesei ATCC 13631,FPase,4.1,U/gds,108,"Washed, autoclaved (solid to water ratio 1:10 w/v ; 30mn ; 121°C), pH-adjusted with HCl solution (1% v/v), dried (70°C), ground (0,2-2mm).","0,4mL/gds Mandel's medium (mg/L): 300 urea ; 1400 (NH4)2SO4 ; 2000 KH2PO4 ; 300 CaCl2 ; 300 MgSO4.7H2O ; 750 proteose peptone ; 250 YE ; 5 FeSO4.H2O ; 1,6 MnSO4.7H2O ; 1,4 ZnSO4.7H2O ; 2 CoCl2.6H2O. Additives cocktail (mg/gds): 0,2 Tween 80 ; 4 betaine ; 4 lactose.",Taguchi optimisation method for optimisation of the additive cocktail.,pH=5 ; Inoculum (5E6 spores/gds) ; MC=80% w/w ; T°=28°C.,"The study focused on the impact of 4 carboneous additives on the production of xylanase, CMCase and FPase. The additive cocktail used in this experiment (cf. Nutritive or inducing supplement) has been optimised for FPase production.",2018,40
123,wheat bran,Trichoderma reesei ATCC 13631,xylanase,2612,U/gds,108,"Washed, autoclaved (solid to water ratio 1:10 w/v ; 30mn ; 121°C), pH-adjusted with HCl solution (1% v/v), dried (70°C), ground (0,2-2mm).","0,4mL/gds Mandel's medium (mg/L): 300 urea ; 1400 (NH4)2SO4 ; 2000 KH2PO4 ; 300 CaCl2 ; 300 MgSO4.7H2O ; 750 proteose peptone ; 250 YE ; 5 FeSO4.H2O ; 1,6 MnSO4.7H2O ; 1,4 ZnSO4.7H2O ; 2 CoCl2.6H2O. Additives cocktail (mg/gds): 0,2 Tween 80 ; 2 CMCose.",Taguchi optimisation method for optimisation of the additive cocktail.,pH=5 ; Inoculum (5E6 spores/gds) ; MC=80% w/w ; T°=28°C.,"The study focused on the impact of 4 carboneous additives on the production of xylanase, CMCase and FPase. The additive cocktail used in this experiment (cf. Nutritive or inducing supplement) has been optimised for xylanase production.",2018,40
124,wheat bran,Trichoderma reesei ATCC 13631,CMCase,15.6,U/gds,108,"Washed, autoclaved (solid to water ratio 1:10 w/v ; 30mn ; 121°C), pH-adjusted with HCl solution (1% v/v), dried (70°C), ground (0,2-2mm).","0,4mL/gds Mandel's medium (mg/L): 300 urea ; 1400 (NH4)2SO4 ; 2000 KH2PO4 ; 300 CaCl2 ; 300 MgSO4.7H2O ; 750 proteose peptone ; 250 YE ; 5 FeSO4.H2O ; 1,6 MnSO4.7H2O ; 1,4 ZnSO4.7H2O ; 2 CoCl2.6H2O. Additives cocktail (mg/gds): 0,2 Tween 80 ; 2 betaine ; 4 CMCose ; 1,6 lactose.",Taguchi optimisation method for optimisation of the additive cocktail.,pH=5 ; Inoculum (5E6 spores/gds) ; MC=80% w/w ; T°=28°C.,"The study focused on the impact of 4 carboneous additives on the production of xylanase, CMCase and FPase. The additive cocktail used in this experiment (cf. Nutritive or inducing supplement) has been optimised for CMCase production.",2018,40
125,wheat bran,Trichoderma reesei ATCC 13631,FPase,12.2,U/gds,108,"Washed, autoclaved (solid to water ratio 1:10 w/v ; 30mn ; 121°C), pH-adjusted with HCl solution (1% v/v), dried (70°C), ground (0,2-2mm).","0,4mL/gds Mandel's medium (mg/L): 300 urea ; 1400 (NH4)2SO4 ; 2000 KH2PO4 ; 300 CaCl2 ; 300 MgSO4.7H2O ; 750 proteose peptone ; 250 YE ; 5 FeSO4.H2O ; 1,6 MnSO4.7H2O ; 1,4 ZnSO4.7H2O ; 2 CoCl2.6H2O. Additives cocktail (mg/gds): 2 betaine ; 2 CMCose ; 1,6 lactose.",Taguchi optimisation method for optimisation of the additive cocktail.,pH=5 ; Inoculum (5E6 spores/gds) ; MC=80% w/w ; T°=28°C.,"The study focused on the impact of 4 carboneous additives on the production of xylanase, CMCase and FPase. The additive cocktail used in this experiment (cf. Nutritive or inducing supplement) has been optimised for FPase production.",2018,40
126,rice straw,Trichoderma reesei ATCC 13631,xylanase,330,U/gds,108,"Washed, autoclaved (solid to water ratio 1:10 w/v ; 30mn ; 121°C), pH-adjusted with HCl solution (1% v/v), dried (70°C), ground (0,2-2mm).","0,4mL/gds Mandel's medium (mg/L): 300 urea ; 1400 (NH4)2SO4 ; 2000 KH2PO4 ; 300 CaCl2 ; 300 MgSO4.7H2O ; 750 proteose peptone ; 250 YE ; 5 FeSO4.H2O ; 1,6 MnSO4.7H2O ; 1,4 ZnSO4.7H2O ; 2 CoCl2.6H2O. Additives cocktail (mg/gds): 0,2 Tween 80 ; 2 CMCose ; 1,6 lactose.",Taguchi optimisation method for optimisation of the additive cocktail.,pH=5 ; Inoculum (5E6 spores/gds) ; MC=80% w/w ; T°=28°C.,"The study focused on the impact of 4 carboneous additives on the production of xylanase, CMCase and FPase. The additive cocktail used in this experiment (cf. Nutritive or inducing supplement) has been optimised for xylanase production.",2018,40
